pib,igae
11512936.17,70.32774821
11790790.53,71.09252797
11903392.13,71.41087609
11990433.81,72.32591492
12045238.13,72.5651069
12063955.33,72.36514282
12195322.24,72.74141244
12265454.45,73.58713751
12364920.6,74.31999038
12493022.47,74.25541175
12722924.59,74.14167134
12927620.25,73.58805602
13028513.1,74.34907574
12942040.77,74.47854247
12957763.08,74.12415576
12879137.31,73.89452875
12882651.4,74.24583382
12821843.85,74.59717457
12742924.66,75.36278232
12853100.83,75.17711492
12940661.04,75.82175038
12980917.97,75.14766989
13015289.95,75.91167456
13041188.38,75.38721378
13040282.67,76.27809355
13176382.76,75.96313001
13343988.17,76.50758794
13570141.95,76.54254104
13551818.37,76.82079789
13718241.91,77.27772551
13741612.99,79.32446396
13782648.62,78.88367989
13909178.65,78.68393547
14129444.56,79.38819296
14378259.9,79.86368685
14520155.2,80.30766043
14564962.75,80.40722897
14596400.26,80.51266386
14699980.57,80.6436818
14812820.95,80.49589331
14905521.63,80.24014892
14965263.14,79.79390155
14915886.46,79.77437814
15048665.69,79.54938564
15092670.04,79.54412824
14852544.92,79.36521022
14096777.9,79.17647751
13881028.27,79.52103733
14331726.67,79.61801401
14580211.04,79.9524796
14738249.1,79.72255222
14890721.75,78.82533539
15026245.67,79.40425271
15151487.87,79.31798373
15274550.53,77.92182007
15341615.86,78.45728498
15637039.62,78.85679817
15748743.51,79.26176185
15837439.9,79.46877903
15977627.88,79.26040122
16078269.83,79.55066599
16213674.55,80.08292779
16269905.52,79.93105434
16157056.06,80.29492023
16313692,79.6818852
16402695.3,79.95967272
16508811.05,80.03822446
16717683.94,80.72373477
16780482.77,80.18092744
16967333.84,80.24091058
17060757.79,80.00925158
17237670.2,80.54840728
17446826.06,80.65445024
17443715.22,79.9899235
17549061.86,80.25057029
17626019.34,80.50642571
17820267.67,80.88938875
18022420.82,81.71546433
18108948.41,82.17115405
18168351.41,82.46976664
18111156.83,83.51071862
18324436.98,83.25060997
18567856.4,83.79881903
18521633.61,83.60042705
18578257.96,83.20141165
18590228.01,83.44134602
18566766.49,83.65232388
18547684.05,83.9156238
18532013.87,84.71861344
18506692.63,84.42485665
,84.53204126
,84.75464158
,84.54684349
,84.9554073
,85.90358309
,84.49128534
,84.81952687
,86.00432575
,86.13626841
,86.26834294
,87.13704905
,87.6064745
,88.99948614
,88.292203
,88.24290888
,88.84366705
,90.28737423
,89.29158273
,89.4938564
,89.75937492
,89.73302927
,90.12110154
,89.63010407
,90.11356402
,90.06091285
,90.28250889
,90.50445886
,91.02518549
,91.52099964
,91.74269279
,91.817467
,91.80800032
,92.26605523
,92.59264891
,91.90297663
,91.89831554
,92.38849621
,92.44414003
,91.5067018
,93.03330745
,92.74292599
,93.33338592
,93.40129898
,92.36137122
,92.0765312
,92.72196366
,91.05398479
,89.80958357
,86.88138486
,86.46848008
,86.2030988
,85.5341451
,85.06305428
,86.37964764
,87.92255733
,87.5458966
,87.94520821
,88.88284155
,89.42875581
,89.63329862
,89.81290756
,90.07051326
,91.25081579
,91.35982911
,91.46190785
,91.48158112
,91.82427332
,92.01032644
,92.43186164
,92.44454173
,92.60056064
,93.24854044
,93.39419773
,93.51306425
,94.07135605
,93.59535162
,94.49362916
,95.08381018
,95.50208603
,96.08746448
,96.18858829
,96.19855581
,97.12091379
,96.80332264
,97.31659635
,97.64601838
,97.9607148
,98.33539661
,97.76376939
,98.69435182
,99.14284391
,98.66740121
,98.9711949
,98.96585564
,100.3454554
,99.45575403
,99.52174281
,99.45484861
,99.67827778
,99.18135718
,99.78080198
,99.61280877
,99.66195469
,100.3380078
,100.4761427
,100.6357891
,100.6212362
,100.9822943
,100.2169424
,101.5093255
,101.35915
,102.3059238
,102.866378
,102.4845588
,102.899264
,102.7256844
,102.7760639
,103.8976623
,103.9179603
,104.0027597
,104.1306721
,104.4602336
,104.4102421
,106.0605999
,105.0978853
,105.3590996
,106.3734645
,106.5826607
,107.6671641
,106.8263604
,106.0596922
,106.6203271
,107.1907196
,108.0057564
,107.5012299
,107.4786507
,107.6639712
,108.5090977
,108.5532346
,108.5992203
,109.2896885
,109.878086
,109.7374374
,110.6201741
,110.6637121
,110.0623389
,110.5565146
,110.8528068
,110.2666265
,110.993573
,110.211662
,111.3038388
,110.0618387
,111.1731989
,111.8265925
,112.9882508
,112.1667223
,112.6231529
,113.7822062
,112.8384194
,113.534732
,113.0090684
,113.3581025
,113.3855632
,113.3423443
,113.2238845
,113.4701167
,112.8937854
,113.3075153
,113.4937214
,112.9691222
,113.0014229
,112.9977751
,112.9926402
,112.926443
,112.7324886
,112.9245443
,112.4268942
